Model,Split,Setting,Original,Paraphrase,Dynamic,Paraphrase-Orig,Dynamic-Orig,Δ(WebRAG-Base) Original,Δ(WebRAG-Base) Paraphrase,Δ(WebRAG-Base) Dynamic
openai.gpt-oss-20b-1:0,HC,Base,0.384,0.36,0.278,-0.024,-0.106,0.39,0.292,0.205
openai.gpt-oss-20b-1:0,HC,Web-RAG,0.774,0.652,0.483,-0.122,-0.291,0.39,0.292,0.205
openai.gpt-oss-20b-1:0,RS,Base,0.356,0.318,0.276,-0.038,-0.08,0.328,0.283,0.228
openai.gpt-oss-20b-1:0,RS,Web-RAG,0.684,0.601,0.504,-0.083,-0.18,0.328,0.283,0.228
openai.gpt-oss-120b-1:0,HC,Base,0.486,0.47,0.398,-0.016,-0.088,0.306,0.211,0.119
openai.gpt-oss-120b-1:0,HC,Web-RAG,0.792,0.681,0.517,-0.111,-0.275,0.306,0.211,0.119
openai.gpt-oss-120b-1:0,RS,Base,0.438,0.413,0.395,-0.025,-0.043,0.242,0.212,0.14
openai.gpt-oss-120b-1:0,RS,Web-RAG,0.68,0.625,0.535,-0.055,-0.145,0.242,0.212,0.14
mistral.mistral-7b-instruct-v0:2,HC,Base,0.342,0.319,0.171,-0.023,-0.171,0.372,0.261,0.095
mistral.mistral-7b-instruct-v0:2,HC,Web-RAG,0.714,0.58,0.266,-0.134,-0.448,0.372,0.261,0.095
mistral.mistral-7b-instruct-v0:2,RS,Base,0.318,0.283,0.17,-0.035,-0.148,0.284,0.239,0.121
mistral.mistral-7b-instruct-v0:2,RS,Web-RAG,0.602,0.522,0.291,-0.08,-0.311,0.284,0.239,0.121
mistral.mistral-large-2402-v1:0,HC,Base,0.496,0.462,0.317,-0.034,-0.179,0.276,0.167,0.111
mistral.mistral-large-2402-v1:0,HC,Web-RAG,0.772,0.629,0.428,-0.143,-0.344,0.276,0.167,0.111
mistral.mistral-large-2402-v1:0,RS,Base,0.434,0.4,0.317,-0.034,-0.117,0.226,0.177,0.112
mistral.mistral-large-2402-v1:0,RS,Web-RAG,0.66,0.577,0.429,-0.083,-0.231,0.226,0.177,0.112
us.meta.llama4-scout-17b-instruct-v1:0,HC,Base,0.434,0.419,0.277,-0.015,-0.157,0.346,0.239,0.201
us.meta.llama4-scout-17b-instruct-v1:0,HC,Web-RAG,0.78,0.658,0.478,-0.122,-0.302,0.346,0.239,0.201
us.meta.llama4-scout-17b-instruct-v1:0,RS,Base,0.398,0.356,0.278,-0.042,-0.12,0.29,0.243,0.215
us.meta.llama4-scout-17b-instruct-v1:0,RS,Web-RAG,0.688,0.599,0.493,-0.089,-0.195,0.29,0.243,0.215
us.meta.llama4-maverick-17b-instruct-v1:0,HC,Base,0.534,0.485,0.364,-0.049,-0.17,0.262,0.188,0.15
us.meta.llama4-maverick-17b-instruct-v1:0,HC,Web-RAG,0.796,0.673,0.514,-0.123,-0.282,0.262,0.188,0.15
us.meta.llama4-maverick-17b-instruct-v1:0,RS,Base,0.5,0.455,0.36,-0.045,-0.14,0.21,0.167,0.172
us.meta.llama4-maverick-17b-instruct-v1:0,RS,Web-RAG,0.71,0.622,0.532,-0.088,-0.178,0.21,0.167,0.172
